id,tweet,labels,text
1555,Have you had your vitamin C today? #Mexico is the 3rd biggest lime and lemon exporter in the world.,2,Have you had your vitamin C today? #Mexico is the 3rd biggest lime and lemon exporter in the world.
1216,Now in Mexico Today: US Vice President Joe Biden. Read more about the agenda for his bilateral meeting #BidenMexico https://www.facebook.com/photo.php?fbid=550054815063157&set=a.152646798137296.38790.147141758687800&type=1 …,2,Now in Mexico Today: US Vice President Joe Biden. Read more about the agenda for his bilateral meeting #BidenMexico https://www.facebook.com/photo.php?fbid=550054815063157&set=a.152646798137296.38790.147141758687800&type=1 …
2707,Mexico up 2-0 now in Olympic men's final against Brasil! Mexico playing solid defense for the gold!,1,Mexico up 2-0 now in Olympic men's final against Brasil! Mexico playing solid defense for the gold!
268,La espectacular Guanajuato de México.,1,The spectacular Guanajuato of Mexico.
4302,The top two international destinations for 2012...remain Caribbean cruises & Cancun reported @Reuters http://reut.rs/xp9QUM #MexicoToday,1,The top two international destinations for 2012...remain Caribbean cruises & Cancun reported @Reuters http://reut.rs/xp9QUM #MexicoToday
1498,Exec at @ICC presenting the #B20 recommendations to the @G20Mexico on Trade and Invmt #mexicotoday,2,Exec at @ICC presenting the #B20 recommendations to the @G20Mexico on Trade and Invmt #mexicotoday
5685,"Parents reject Mexico attorney general's declaration that missing students slain, vow to press case at UN: http://apne.ws/1JF6mdV",0,"Parents reject Mexico attorney general's declaration that missing students slain, vow to press case at UN: http://apne.ws/1JF6mdV"
2000,"Shohn Huckabee was tortured while in custody in Mexico, U.S. authorities claim, in a case that laid bare the dark-side of Mexico's military.",0,"Shohn Huckabee was tortured while in custody in Mexico, U.S. authorities claim, in a case that laid bare the dark-side of Mexico's military."
7759,"With Politics in Audience, Iran Loses to Mexico",1,"With Politics in Audience, Iran Loses to Mexico"
5687," ""There are reportedly people trapped... not everyone is accounted for"" - reporter at scene of explosion in Mexico City http://bbc.in/11pMhR5 ",0," ""There are reportedly people trapped... not everyone is accounted for"" - reporter at scene of explosion in Mexico City http://bbc.in/11pMhR5 "
1542,#GM to Invest $691 Million to Expand Production In #Mexico. http://bit.ly/1bC51XT,2,#GM to Invest $691 Million to Expand Production In #Mexico. http://bit.ly/1bC51XT
7542,Thousands march in Mexico city to mark year since 43 students disappeared http://trib.al/QVE372r,0,Thousands march in Mexico city to mark year since 43 students disappeared http://trib.al/QVE372r
2684,Gen. Mario Acosta Chaparro is the second retired military officer to be assassinated in Mexico City in the last year. #Mexico #drugwar,0,Gen. Mario Acosta Chaparro is the second retired military officer to be assassinated in Mexico City in the last year. #Mexico #drugwar
6851," Entrevista a Enrique Peña Nieto: ""Espero de los demás partidos el respaldo a lo que México necesita"" http://ow.ly/c2r1O #EPNenElPaís @EPN View summary 32 retweets 7 favorites ",2," Interview with Enrique Peña Nieto: ""I hope of the other games the support for which Mexico needs"" http://ow.ly/c2r1o # Epnenelpa @EPN View Summary 32 Retweets 7 Favorites"
2981,Mexican town's entire police force detained over journalist disappearance http://trib.al/2jdAriS,0,Mexican town's entire police force detained over journalist disappearance http://trib.al/2jdAriS
7024,Fotogalería: Las inundaciones causan al menos 80 muertos en México http://cort.as/6_2W Al menos 5.000 personas han sido evacuadas 54 retweets 2 favorites,0,"Photogalería: Floods cause at least 80 dead in Mexico http://cort.as/6_2w At least 5,000 people have been evacuated 54 Retweets 2 Favorites"
4664,Painted back to life: Brian Maguire's portraits of the victims of Mexico's 'feminocidio' http://gu.com/p/3zpp9/tw,0,Painted back to life: Brian Maguire's portraits of the victims of Mexico's 'feminocidio' http://gu.com/p/3zpp9/tw
1772,"Reading: John Ross and his 'El Monstruo,' a new book on Mexico City, from NationBooks http://bit.ly/alceIW",2,"Reading: John Ross and his 'El Monstruo,' a new book on Mexico City, from NationBooks http://bit.ly/alceIW"
1774,"The Mexico-Bolivia game started like 10 minutes ago in San Francisco, CA and the Aztecas have already scored FOUR TIMES?? Gwhat??!",1,"The Mexico-Bolivia game started like 10 minutes ago in San Francisco, CA and the Aztecas have already scored FOUR TIMES?? Gwhat??!"
3623,"According to @jpjdf, you should book your trip to Malinalco, Mexico ASAP. Read about this magical place: http://bit.ly/tBqbBD #MexicoToday",1,"According to @jpjdf, you should book your trip to Malinalco, Mexico ASAP. Read about this magical place: http://bit.ly/tBqbBD #MexicoToday"
1706,Domestic legislation could be the key to making strides in UN talks for lowering #CO2 #emissions globally. http://bit.ly/WAiHJt,2,Domestic legislation could be the key to making strides in UN talks for lowering #CO2 #emissions globally. http://bit.ly/WAiHJt
5789,"El 99,78 % de las mesas de votación ya han sido instaladas en México #Elección2012 #México",2,99.78% of the voting tables have already been installed in Mexico # Election2012 # Mexico
